CustomerID;Age;Gender;Tenure;Usage Frequency;Support Calls;Payment Delay;Subscription Type;Contract Length;Total Spend;Last Interaction;Churn;Region;Operador
48;37;Male;13;26;2;26;Basic;Quarterly;259;15;0;Lima;Claro
49;51;Female;15;26;10;25;Basic;Quarterly;244;1;1;Lima;Claro
50;57;Female;46;30;2;21;Standard;Annual;705;5;0;Lima;Claro
51;47;Female;47;4;7;3;Standard;Monthly;136;14;0;Lima;Claro
52;29;Male;3;5;0;23;Standard;Monthly;843;6;0;Lima;Claro
53;45;Female;17;4;5;23;Standard;Annual;402;8;1;Lima;Claro
54;18;Female;22;21;3;30;Premium;Annual;919;3;0;Lima;Claro
55;27;Male;57;4;10;20;Premium;Annual;699;4;1;Lima;Claro
56;23;Male;34;20;3;26;Basic;Annual;733;1;0;Lima;Claro
57;60;Male;24;11;9;10;Standard;Monthly;563;10;0;Lima;Claro
58;57;Male;24;28;3;24;Premium;Annual;448;12;0;Lima;Claro
59;28;Female;29;3;2;21;Premium;Quarterly;172;2;1;Lima;Claro
60;64;Female;39;25;2;9;Standard;Quarterly;933;9;0;Lima;Claro
61;30;Male;57;21;8;24;Standard;Annual;576;6;1;Lima;Claro
62;18;Female;57;16;10;2;Basic;Quarterly;657;26;0;Lima;Claro
63;24;Male;13;25;9;27;Premium;Quarterly;843;29;0;Lima;Claro
64;40;Male;54;7;0;15;Standard;Annual;731;27;0;Lima;Claro
65;26;Female;33;27;1;23;Basic;Quarterly;665;5;0;Lima;Claro
66;41;Male;35;4;6;16;Standard;Annual;546;26;1;Lima;Claro
67;64;Female;19;27;2;0;Basic;Monthly;579;14;0;Lima;Claro
68;42;Male;34;2;7;17;Premium;Annual;757;25;1;Lima;Claro
69;24;Male;28;13;0;27;Premium;Quarterly;515;27;0;Lima;Claro
70;52;Female;56;8;9;21;Premium;Annual;599;20;1;Lima;Claro
71;48;Male;57;29;1;19;Standard;Monthly;554;12;0;Lima;Claro
72;28;Female;34;20;1;1;Basic;Annual;986;19;0;Lima;Claro
73;52;Female;5;12;5;23;Basic;Annual;844;12;0;Lima;Claro
74;52;Female;37;26;5;29;Standard;Annual;668;3;1;Lima;Claro
75;56;Female;55;15;10;3;Standard;Annual;867;26;0;Lima;Claro
76;64;Male;48;9;7;26;Premium;Annual;471;11;1;Lima;Claro
77;41;Male;59;30;5;26;Basic;Annual;628;11;1;Lima;Claro
78;48;Female;47;12;0;29;Basic;Monthly;761;8;1;Lima;Claro
79;22;Male;39;10;3;29;Standard;Monthly;599;13;0;Lima;Claro
80;42;Female;19;25;5;13;Premium;Monthly;372;8;0;Lima;Claro
81;55;Female;54;26;0;9;Premium;Annual;213;13;0;Lima;Claro
82;43;Female;6;16;6;21;Basic;Monthly;996;17;1;Lima;Claro
83;34;Male;26;22;8;9;Premium;Monthly;403;3;0;Lima;Claro
84;27;Male;42;22;3;27;Basic;Monthly;468;25;0;Lima;Claro
85;19;Female;59;24;3;26;Basic;Quarterly;368;8;1;Lima;Claro
86;58;Male;59;10;5;8;Basic;Monthly;599;25;0;Lima;Claro
87;22;Female;39;9;2;13;Basic;Quarterly;759;1;0;Lima;Claro
88;22;Male;25;10;10;17;Premium;Monthly;966;7;1;Lima;Claro
89;61;Female;28;9;6;5;Standard;Monthly;784;7;0;Lima;Claro
90;28;Male;17;19;10;12;Premium;Quarterly;332;24;0;Lima;Claro
91;33;Male;36;18;0;24;Premium;Annual;364;1;0;Lima;Claro
92;37;Female;57;21;6;6;Premium;Quarterly;209;29;0;Lima;Claro
93;65;Female;6;21;1;2;Premium;Quarterly;428;29;0;Lima;Claro
94;22;Male;51;27;9;23;Standard;Annual;347;11;1;Lima;Claro
95;42;Male;37;14;0;24;Premium;Annual;418;13;0;Lima;Claro
96;36;Female;42;18;8;6;Premium;Quarterly;322;10;0;Lima;Claro
97;20;Male;32;7;5;14;Basic;Annual;920;28;0;Lima;Claro
98;58;Male;21;28;10;2;Basic;Annual;894;28;0;Lima;Claro
99;65;Male;21;3;5;20;Standard;Quarterly;570;1;1;Lima;Claro
100;40;Male;6;26;10;0;Basic;Annual;632;5;0;Lima;Claro
101;52;Female;45;20;6;28;Standard;Monthly;442;10;1;Lima;Claro
102;35;Male;47;23;4;8;Standard;Annual;969;7;0;Lima;Claro
103;62;Female;16;13;9;15;Standard;Quarterly;719;19;0;Lima;Claro
104;41;Male;20;27;4;13;Basic;Monthly;941;18;0;Lima;Claro
105;36;Male;10;22;9;0;Standard;Quarterly;218;7;0;Lima;Claro
106;39;Male;59;29;5;7;Basic;Annual;225;27;0;Lima;Claro
107;62;Male;10;9;1;18;Standard;Quarterly;345;27;0;Lima;Claro
108;55;Male;22;15;1;19;Standard;Quarterly;769;30;0;Lima;Claro
109;44;Female;54;20;1;9;Basic;Quarterly;717;9;0;Lima;Claro
110;39;Female;7;30;3;5;Basic;Monthly;199;13;0;Lima;Claro
111;30;Male;57;20;8;26;Premium;Monthly;821;8;1;Lima;Claro
112;41;Male;8;11;9;24;Premium;Monthly;900;14;0;Lima;Claro
113;56;Male;56;3;3;12;Standard;Monthly;175;11;0;Lima;Claro
114;24;Male;10;3;8;13;Basic;Annual;317;3;0;Lima;Claro
115;28;Female;43;30;7;5;Basic;Monthly;600;11;0;Lima;Claro
116;46;Female;43;10;0;10;Basic;Quarterly;779;23;0;Lima;Claro
117;18;Male;36;18;7;14;Standard;Monthly;635;19;0;Lima;Claro
118;34;Male;28;7;8;7;Premium;Monthly;524;1;0;Lima;Claro
119;39;Male;13;27;6;21;Basic;Quarterly;382;16;0;Lima;Claro
120;32;Female;3;12;8;8;Basic;Quarterly;990;21;0;Lima;Claro
121;35;Female;47;2;8;21;Basic;Monthly;532;7;1;Lima;Claro
122;40;Male;28;4;0;21;Basic;Annual;377;7;0;Lima;Claro
123;44;Male;13;26;3;3;Basic;Monthly;486;25;0;Lima;Claro
124;52;Female;50;10;2;26;Basic;Quarterly;640;3;0;Lima;Claro
125;40;Female;35;15;6;20;Basic;Annual;104;27;1;Lima;Claro
126;41;Male;58;27;1;3;Premium;Annual;392;3;0;Lima;Claro
127;30;Female;23;29;1;22;Standard;Annual;255;24;1;Lima;Claro
128;64;Female;36;17;4;15;Standard;Monthly;237;5;0;Lima;Claro
129;43;Female;52;13;10;14;Standard;Quarterly;555;11;0;Lima;Claro
130;31;Female;36;23;2;5;Premium;Annual;444;2;0;Lima;Claro
131;61;Male;6;15;2;30;Premium;Annual;630;18;0;Lima;Claro
132;56;Female;33;7;0;22;Premium;Monthly;664;27;1;Lima;Claro
133;57;Male;37;15;4;10;Basic;Monthly;186;9;0;Lima;Claro
134;41;Female;59;20;0;17;Standard;Quarterly;978;11;0;Lima;Claro
135;46;Male;47;14;10;16;Basic;Annual;996;16;1;Lima;Claro
136;65;Female;26;17;10;25;Basic;Annual;254;1;1;Lima;Claro
137;25;Male;27;15;2;15;Basic;Quarterly;123;19;0;Lima;Claro
138;43;Male;37;11;3;23;Standard;Annual;377;9;0;Lima;Claro
139;65;Male;13;4;3;12;Basic;Monthly;921;3;0;Lima;Claro
140;25;Female;58;7;5;9;Basic;Annual;920;22;0;Lima;Claro
141;45;Male;56;29;0;24;Standard;Annual;335;18;0;Lima;Claro
142;20;Male;59;10;5;5;Premium;Quarterly;803;15;0;Lima;Claro
143;38;Male;10;9;1;30;Premium;Annual;888;28;0;Lima;Claro
144;43;Female;16;20;10;26;Basic;Annual;712;2;0;Lima;Claro
145;24;Male;8;12;9;15;Basic;Annual;257;18;0;Lima;Claro
146;56;Female;2;20;6;17;Basic;Quarterly;355;12;0;Lima;Claro
147;61;Male;58;24;9;5;Premium;Monthly;201;20;0;Lima;Claro
148;38;Female;16;13;2;28;Premium;Annual;133;24;1;Lima;Claro
149;39;Male;24;6;5;28;Premium;Quarterly;910;22;1;Lima;Claro
150;29;Male;42;8;8;21;Premium;Quarterly;419;27;1;Lima;Claro
151;31;Male;20;12;1;7;Premium;Annual;115;7;0;Lima;Claro
152;25;Male;22;5;5;29;Basic;Monthly;121;20;0;Lima;Claro
153;62;Male;22;30;9;21;Basic;Annual;736;24;0;Lima;Claro
154;64;Male;13;16;10;18;Standard;Annual;934;11;0;Lima;Claro
155;57;Female;7;27;7;23;Standard;Annual;640;1;0;Lima;Claro
156;48;Male;41;25;10;1;Standard;Annual;119;13;0;Lima;Claro
157;21;Male;3;8;5;15;Premium;Quarterly;994;25;0;Lima;Claro
158;26;Female;16;10;0;14;Standard;Annual;411;19;0;Lima;Claro
159;63;Male;36;21;8;0;Premium;Annual;817;22;0;Lima;Claro
160;28;Male;14;5;3;4;Premium;Monthly;200;7;0;Lima;Claro
161;36;Male;51;1;0;7;Premium;Annual;837;16;0;Lima;Claro
162;31;Male;34;23;5;12;Standard;Quarterly;164;2;0;Lima;Claro
163;64;Female;46;2;1;12;Basic;Quarterly;413;12;0;Lima;Claro
164;49;Female;53;16;5;3;Standard;Annual;423;15;0;Lima;Claro
165;58;Female;54;18;1;29;Premium;Quarterly;235;29;1;Lima;Claro
166;51;Male;6;22;7;23;Premium;Quarterly;862;3;0;Lima;Claro
167;62;Female;10;11;5;1;Standard;Quarterly;775;6;0;Lima;Claro
168;41;Female;55;17;10;12;Premium;Monthly;259;22;0;Lima;Claro
169;22;Female;59;9;4;9;Basic;Monthly;581;4;0;Lima;Claro
170;56;Male;52;27;5;13;Standard;Annual;796;25;0;Lima;Claro
171;59;Female;20;8;10;3;Standard;Annual;317;20;0;Lima;Claro
172;51;Female;6;1;9;18;Standard;Quarterly;354;12;1;Lima;Claro
173;57;Male;5;13;7;3;Basic;Quarterly;821;16;0;Lima;Claro
174;56;Female;36;4;4;21;Premium;Quarterly;946;30;1;Lima;Claro
175;23;Male;42;23;6;24;Standard;Monthly;838;6;1;Lima;Claro
176;33;Female;52;26;0;10;Standard;Quarterly;136;4;0;Lima;Claro
177;29;Male;31;30;8;24;Premium;Quarterly;150;11;1;Lima;Claro
178;49;Male;40;11;4;17;Premium;Monthly;546;7;0;Lima;Claro
179;25;Female;28;8;4;23;Premium;Monthly;716;1;1;Lima;Claro
180;37;Male;1;7;4;22;Standard;Annual;699;15;0;Lima;Claro
181;45;Male;40;10;10;28;Premium;Annual;912;8;1;Lima;Claro
182;53;Male;13;11;9;14;Basic;Annual;350;9;0;Lima;Claro
183;33;Female;60;24;10;18;Premium;Monthly;423;24;1;Lima;Claro
184;20;Male;5;22;8;0;Premium;Monthly;973;25;0;Lima;Claro
185;62;Male;26;18;1;16;Standard;Annual;683;12;0;Lima;Claro
186;37;Male;55;8;8;4;Standard;Monthly;561;16;0;Lima;Claro
187;51;Male;38;21;4;5;Basic;Quarterly;203;26;0;Lima;Claro
188;21;Female;41;13;8;22;Premium;Monthly;538;18;1;Lima;Claro
189;64;Male;60;25;5;8;Premium;Annual;720;24;0;Lima;Claro
190;41;Male;50;15;6;1;Standard;Annual;588;10;0;Lima;Claro
191;44;Male;44;30;0;26;Standard;Monthly;656;6;0;Lima;Claro
192;20;Male;4;26;8;12;Standard;Annual;733;4;0;Lima;Claro
193;18;Male;28;12;3;20;Standard;Monthly;261;13;0;Lima;Claro
194;41;Female;58;24;9;16;Standard;Annual;447;20;1;Lima;Claro
195;50;Male;46;2;4;28;Premium;Annual;527;19;0;Lima;Claro
196;59;Male;41;29;3;1;Basic;Quarterly;833;5;0;Lima;Claro
197;39;Male;29;25;4;2;Standard;Quarterly;254;20;0;Lima;Claro
198;19;Male;17;11;6;24;Standard;Quarterly;715;15;0;Lima;Claro
199;29;Female;56;21;3;26;Basic;Quarterly;239;29;1;Lima;Claro
200;45;Female;20;1;4;15;Standard;Monthly;224;13;0;Lima;Claro
201;36;Male;24;29;1;26;Premium;Monthly;566;8;0;Lima;Claro
202;20;Female;9;27;5;16;Standard;Annual;295;21;0;Lima;Claro
203;30;Female;44;22;4;18;Standard;Quarterly;890;12;0;Lima;Claro
204;33;Male;5;25;1;26;Standard;Annual;821;27;0;Lima;Claro
205;27;Male;29;30;4;3;Basic;Annual;258;18;0;Lima;Claro
206;36;Female;26;7;2;3;Basic;Annual;371;8;0;Lima;Claro
207;33;Male;35;29;9;18;Basic;Monthly;335;8;1;Lima;Claro
208;18;Male;33;18;1;22;Basic;Annual;312;29;0;Lima;Claro
209;64;Male;13;20;0;22;Standard;Quarterly;749;14;0;Lima;Claro
210;48;Male;36;19;1;13;Premium;Annual;140;28;0;Lima;Claro
211;57;Female;15;4;5;30;Standard;Quarterly;960;21;1;Lima;Claro
212;28;Female;22;5;1;2;Premium;Quarterly;838;10;0;Lima;Claro
213;28;Male;56;7;2;25;Basic;Monthly;854;26;0;Lima;Claro
214;22;Female;45;29;8;7;Standard;Monthly;344;17;0;Lima;Claro
215;56;Male;11;10;10;10;Basic;Annual;841;26;0;Lima;Claro
216;23;Female;31;15;6;11;Basic;Quarterly;705;24;0;Lima;Claro
217;59;Male;44;7;8;9;Standard;Annual;890;26;0;Lima;Claro
218;46;Male;27;25;6;8;Basic;Monthly;150;28;0;Lima;Claro
219;56;Male;8;11;10;12;Premium;Quarterly;866;15;0;Lima;Claro
220;37;Female;25;19;8;26;Standard;Monthly;212;13;1;Lima;Claro
221;36;Male;46;5;2;11;Premium;Quarterly;524;6;0;Lima;Claro
222;59;Male;36;16;4;26;Standard;Annual;894;29;0;Lima;Claro
223;56;Female;15;19;3;2;Standard;Quarterly;650;3;0;Lima;Claro
224;51;Female;32;20;2;24;Standard;Quarterly;505;21;0;Lima;Claro
225;38;Female;29;18;4;16;Standard;Annual;909;24;0;Lima;Claro
226;20;Male;60;29;7;22;Standard;Quarterly;298;23;1;Lima;Claro
227;60;Female;16;24;6;21;Basic;Monthly;725;14;1;Lima;Claro
228;49;Male;59;9;2;18;Premium;Annual;733;18;0;Lima;Claro
229;20;Female;55;25;1;26;Premium;Quarterly;382;8;1;Lima;Claro
230;58;Female;29;20;0;20;Standard;Quarterly;126;9;0;Lima;Claro
231;27;Male;50;1;10;30;Standard;Annual;736;4;1;Lima;Claro
232;20;Female;29;5;4;17;Basic;Annual;584;26;0;Lima;Claro
233;63;Male;46;2;4;9;Basic;Quarterly;969;30;1;Lima;Claro
234;47;Female;33;5;4;23;Premium;Quarterly;393;14;1;Lima;Claro
235;63;Male;18;15;3;27;Premium;Annual;722;26;0;Lima;Claro
236;62;Male;51;9;2;0;Premium;Monthly;654;16;0;Lima;Claro
237;46;Female;35;29;8;5;Standard;Monthly;805;2;0;Lima;Claro
238;49;Female;33;23;3;21;Premium;Annual;230;23;1;Lima;Claro
239;46;Female;52;26;5;27;Basic;Monthly;403;14;1;Lima;Claro
240;64;Female;11;7;1;8;Basic;Annual;984;14;0;Lima;Claro
241;60;Male;13;17;7;19;Basic;Monthly;849;26;0;Lima;Claro
242;54;Male;44;24;1;16;Premium;Annual;664;3;0;Lima;Claro
243;47;Female;52;3;6;1;Premium;Quarterly;408;7;0;Lima;Claro
244;37;Male;55;28;4;26;Basic;Monthly;826;17;0;Lima;Claro
245;19;Female;1;13;6;9;Basic;Monthly;302;3;0;Lima;Claro
246;52;Female;33;14;8;2;Standard;Quarterly;846;11;0;Lima;Claro
247;62;Male;5;18;6;14;Standard;Annual;205;22;0;Lima;Claro
248;48;Male;54;15;7;18;Standard;Quarterly;131;11;1;Lima;Claro
249;60;Male;18;27;1;30;Standard;Annual;426;30;0;Lima;Claro
250;58;Male;15;2;1;13;Premium;Annual;309;23;0;Lima;Claro
251;43;Male;31;8;7;28;Premium;Monthly;313;10;1;Lima;Claro
252;26;Male;41;27;8;15;Premium;Monthly;889;6;0;Lima;Claro
253;41;Female;45;21;5;18;Basic;Quarterly;799;7;1;Lima;Claro
254;22;Male;47;15;10;24;Premium;Annual;237;17;1;Lima;Claro
255;45;Male;14;20;1;13;Basic;Quarterly;828;11;0;Lima;Claro
256;38;Male;59;30;1;28;Premium;Quarterly;481;28;0;Lima;Claro
257;28;Male;49;22;6;29;Standard;Quarterly;187;13;1;Lima;Claro
258;56;Male;22;21;5;13;Premium;Monthly;632;22;0;Lima;Claro
259;42;Female;17;14;6;22;Standard;Annual;207;10;1;Lima;Claro
260;20;Female;59;19;0;10;Premium;Quarterly;366;22;0;Lima;Claro
261;62;Male;52;1;4;22;Standard;Monthly;153;26;1;Lima;Claro
262;22;Female;37;6;8;17;Basic;Quarterly;212;12;1;Lima;Claro
263;30;Female;46;18;4;13;Standard;Quarterly;300;21;0;Lima;Claro
264;30;Female;55;27;6;11;Standard;Monthly;662;28;0;Lima;Claro
265;44;Male;21;18;4;27;Basic;Quarterly;388;12;0;Lima;Claro
266;58;Male;38;26;0;27;Premium;Annual;874;12;0;Lima;Claro
267;59;Male;41;18;6;18;Standard;Annual;971;12;1;Lima;Claro
268;65;Male;55;10;5;18;Premium;Quarterly;689;6;1;Lima;Claro
269;30;Female;42;15;8;8;Premium;Monthly;280;20;0;Lima;Claro
270;28;Female;35;19;2;2;Premium;Monthly;506;22;0;Lima;Claro
271;58;Male;39;16;0;8;Basic;Monthly;690;17;0;Lima;Claro
272;63;Female;56;28;1;17;Basic;Quarterly;821;7;0;Lima;Claro
273;62;Female;35;8;7;8;Basic;Annual;514;17;0;Lima;Claro
274;32;Female;47;20;0;8;Premium;Monthly;885;9;0;Lima;Claro
275;20;Male;19;10;5;11;Basic;Quarterly;644;8;0;Lima;Claro
276;28;Female;28;9;5;9;Premium;Monthly;628;18;0;Lima;Claro
277;19;Male;54;27;6;30;Standard;Quarterly;131;20;1;Lima;Claro
278;24;Female;48;29;10;30;Premium;Monthly;278;26;1;Lima;Claro
279;43;Male;28;4;10;9;Premium;Annual;280;15;0;Lima;Claro
280;38;Female;13;13;6;27;Standard;Quarterly;466;14;1;Lima;Claro
281;52;Female;26;28;3;6;Standard;Quarterly;953;5;0;Lima;Claro
282;25;Male;4;14;5;16;Premium;Annual;465;17;0;Lima;Claro
283;37;Male;10;22;2;3;Premium;Annual;292;6;0;Lima;Claro
284;56;Male;35;15;4;18;Standard;Monthly;940;1;0;Lima;Claro
285;55;Female;28;11;0;21;Premium;Monthly;741;4;1;Lima;Claro
286;41;Female;14;18;10;15;Basic;Annual;380;7;0;Lima;Claro
287;61;Male;46;5;2;3;Premium;Annual;501;21;0;Lima;Claro
288;20;Female;50;8;2;30;Basic;Annual;407;29;1;Lima;Claro
289;40;Male;5;1;3;21;Standard;Annual;101;12;1;Lima;Claro
290;19;Male;40;22;0;24;Premium;Quarterly;212;20;0;Lima;Claro
291;44;Male;34;30;4;28;Standard;Quarterly;654;26;0;Lima;Claro
292;24;Female;8;7;8;29;Premium;Annual;226;4;1;Lima;Claro
293;28;Female;1;4;6;1;Premium;Annual;337;6;0;Lima;Claro
294;41;Male;35;8;3;28;Standard;Annual;163;8;0;Lima;Claro
295;20;Female;56;12;5;14;Basic;Quarterly;837;9;0;Lima;Claro
296;52;Male;33;27;0;19;Basic;Monthly;719;18;0;Lima;Claro
297;47;Male;14;28;4;26;Basic;Quarterly;987;2;0;Lima;Claro
298;47;Female;23;6;1;17;Basic;Annual;300;27;0;Lima;Claro
299;18;Female;50;10;6;27;Standard;Monthly;487;18;1;Lima;Claro
300;37;Male;42;26;5;24;Premium;Quarterly;862;9;1;Lima;Claro
301;36;Male;38;14;4;7;Basic;Annual;863;7;0;Lima;Claro
302;48;Female;35;26;3;5;Premium;Quarterly;415;20;0;Lima;Claro
303;35;Female;21;19;9;11;Basic;Monthly;607;21;0;Lima;Claro
304;52;Female;9;2;5;3;Premium;Monthly;592;24;1;Lima;Claro
305;58;Female;42;24;8;3;Standard;Annual;256;17;0;Lima;Claro
306;62;Male;35;18;4;24;Premium;Quarterly;603;9;0;Lima;Claro
307;19;Female;26;18;10;18;Standard;Monthly;721;25;1;Lima;Claro
308;41;Female;49;27;0;5;Standard;Monthly;329;8;0;Lima;Claro
309;46;Male;12;26;9;3;Basic;Monthly;173;29;0;Lima;Claro
310;29;Male;24;30;1;7;Standard;Annual;101;30;0;Lima;Claro
311;24;Male;56;23;3;30;Standard;Quarterly;123;14;0;Lima;Claro
312;31;Female;16;8;0;1;Basic;Annual;438;23;0;Lima;Claro
313;49;Male;41;5;10;4;Basic;Annual;532;27;0;Lima;Claro
314;29;Female;37;16;0;7;Standard;Monthly;845;2;0;Lima;Claro
315;24;Female;42;17;7;8;Basic;Annual;210;29;0;Lima;Claro
316;19;Female;29;28;1;21;Basic;Annual;802;17;0;Lima;Claro
317;55;Male;20;18;5;4;Premium;Quarterly;305;26;0;Lima;Claro
318;62;Male;3;6;5;0;Standard;Quarterly;808;26;0;Lima;Claro
319;45;Female;47;19;10;23;Basic;Monthly;464;24;1;Lima;Claro
320;31;Male;52;7;10;19;Premium;Quarterly;197;3;1;Lima;Claro
321;59;Female;7;30;4;5;Premium;Quarterly;646;9;0;Lima;Claro
322;64;Male;51;1;0;22;Basic;Monthly;800;9;0;Lima;Claro
323;51;Female;57;21;3;11;Premium;Monthly;471;11;0;Lima;Claro
324;36;Male;15;10;8;0;Standard;Annual;672;2;0;Lima;Claro
325;23;Female;39;11;2;24;Standard;Monthly;666;25;1;Lima;Claro
326;61;Male;42;3;2;24;Standard;Monthly;525;25;0;Lima;Claro
327;25;Female;32;1;0;5;Standard;Annual;404;27;0;Lima;Claro
328;45;Female;59;11;7;20;Standard;Annual;175;29;1;Lima;Claro
329;58;Female;60;5;8;17;Premium;Annual;951;13;1;Lima;Claro
330;59;Male;7;30;10;21;Standard;Annual;285;4;0;Lima;Claro
331;52;Male;37;17;5;10;Premium;Monthly;476;1;0;Lima;Claro
332;34;Female;57;9;8;10;Standard;Monthly;603;25;0;Lima;Claro
333;41;Male;2;22;7;23;Standard;Monthly;681;23;0;Lima;Claro
334;27;Female;21;24;4;30;Standard;Annual;823;28;0;Lima;Claro
335;26;Male;54;26;8;27;Basic;Annual;525;30;1;Lima;Claro
336;63;Female;8;22;5;12;Basic;Annual;582;27;0;Lima;Claro
337;53;Male;46;5;5;4;Premium;Monthly;977;2;1;Lima;Claro
338;42;Female;38;18;2;18;Basic;Monthly;808;6;0;Lima;Claro
339;55;Male;56;30;8;10;Standard;Quarterly;550;17;0;Lima;Claro
340;23;Female;48;11;8;26;Basic;Monthly;169;15;1;Lima;Claro
341;36;Female;51;21;6;16;Premium;Monthly;278;27;1;Lima;Claro
342;44;Female;57;10;8;7;Standard;Monthly;163;17;0;Lima;Claro
343;45;Male;16;14;3;9;Basic;Monthly;474;14;0;Lima;Claro
344;29;Male;17;5;7;22;Basic;Annual;446;7;0;Lima;Claro
345;47;Female;37;20;8;16;Premium;Monthly;641;2;1;Lima;Claro
346;53;Female;44;21;10;27;Standard;Annual;650;3;1;Lima;Claro
347;24;Female;3;8;4;8;Premium;Quarterly;647;21;0;Lima;Claro
348;61;Female;4;29;6;6;Premium;Annual;428;8;0;Lima;Claro
349;22;Male;59;23;1;6;Premium;Monthly;707;12;0;Lima;Claro
350;46;Female;42;18;6;5;Premium;Monthly;719;6;0;Lima;Claro
351;55;Female;29;3;8;4;Basic;Quarterly;918;9;1;Lima;Claro
352;28;Male;16;15;2;28;Standard;Quarterly;704;23;0;Lima;Claro
353;28;Male;17;4;5;25;Basic;Annual;519;8;0;Lima;Claro
354;28;Female;34;28;9;8;Standard;Quarterly;672;27;0;Lima;Claro
355;30;Male;40;30;7;14;Basic;Monthly;296;25;0;Lima;Claro
356;35;Female;56;29;6;0;Basic;Quarterly;718;6;0;Lima;Claro
357;28;Male;2;8;7;16;Basic;Annual;141;8;0;Lima;Claro
358;27;Female;19;7;2;1;Premium;Monthly;928;12;0;Lima;Claro
359;60;Female;46;6;1;25;Standard;Monthly;621;2;1;Lima;Claro
360;22;Male;60;11;2;12;Premium;Monthly;736;1;0;Lima;Claro
361;51;Female;6;20;7;22;Premium;Monthly;999;3;1;Lima;Claro
362;49;Female;9;24;6;18;Basic;Quarterly;977;5;0;Lima;Claro
363;30;Male;41;17;2;14;Basic;Monthly;706;12;0;Lima;Claro
364;43;Male;33;26;6;0;Premium;Quarterly;593;26;0;Lima;Claro
